date,pop,abund
2004-11-01,FRS,0.925925925925926
2004-11-01,KSE,0.925925925925926
2004-11-01,MC,1.6666666666666672
2004-11-01,SS,0
2005-02-01,CS,0
2005-02-01,FRN,0
2005-02-01,FRS,0
2005-02-01,MC,0.5555555555555556
2005-02-01,SS,0.462962962962963
2005-04-01,FRS,0.462962962962963
2005-04-01,MC,0.617283950617284
2005-04-01,SS,0
2005-05-01,CS,0.462962962962963
2005-05-01,MC,0.925925925925926
2005-08-01,CS,0.462962962962963
2005-08-01,FRN,0
2005-08-01,FRS,0.462962962962963
2005-08-01,KSE,0
2005-08-01,MC,0.5555555555555552
2005-08-01,SS,0.925925925925926
2005-10-01,MC,0.5555555555555552
2005-11-01,FRS,1.388888888888888
2005-11-01,SS,1.38888888888889
2005-12-01,CS,0
2005-12-01,FRN,0.462962962962963
2005-12-01,FRS,0.462962962962963
2005-12-01,KSE,2.77777777777778
2006-02-01,FRS,1.38888888888889
2006-02-01,MC,1.296296296296296
2006-03-01,CS,1.388888888888888
2006-03-01,SS,1.38888888888889
2006-05-01,CS,2.314814814814813
2006-05-01,FRN,1.388888888888888
2006-05-01,FRS,2.77777777777778
2006-05-01,KSE,0
2006-05-01,SS,2.314814814814815
2006-06-01,MC,1.8148148148148133
2006-08-01,FRS,5.55555555555556
2006-08-01,KSE,0.462962962962963
2006-08-01,MC,2.160493827160493
2006-08-01,SS,0.925925925925926
2006-09-01,CS,0.462962962962963
2006-09-01,FRN,0
2006-09-01,FRS,2.77777777777778
2006-09-01,MC,1.851851851851853
2006-11-01,CS,0.462962962962963
2006-11-01,FRN,0
2006-11-01,FRS,4.62962962962963
2006-11-01,KSE,0
2006-11-01,SS,3.24074074074074
2007-03-01,MC,6.17283950617284
2007-05-01,CS,7.87037037037037
2007-05-01,KSE,4.62962962962963
2007-05-01,MC,4.62962962962963
2007-06-01,CS,8.333333333333325
2007-06-01,FRN,8.33333333333333
2007-06-01,FRS,11.111111111111128
2007-06-01,MC,8.950617283950606
2007-06-01,SS,5.555555555555555
2007-09-01,CS,23.1481481481481
2007-09-01,FRN,16.2037037037037
2007-09-01,FRS,13.425925925925949
2007-09-01,KSE,8.33333333333333
2007-09-01,MC,9.814814814814808
2007-11-01,CS,19.907407407407398
2007-11-01,KSE,13.425925925925949
2007-11-01,MC,21.2962962962963
2008-02-01,CS,13.42592592592593
2008-02-01,MC,26.234567901234566
2008-04-01,KSE,16.6666666666667
2008-04-01,MC,11.213991769547317
2008-06-01,FRS,8.33333333333333
2008-06-01,MC,5.648148148148146
2008-06-01,SS,10.18518518518518
2008-07-01,CS,5.092592592592595
2008-09-01,MC,3.08641975308642
2008-10-01,CS,1.85185185185185
2008-10-01,KSE,0.462962962962963
2008-10-01,MC,4.62962962962963
2009-04-01,FRN,2.7777777777777777
2009-04-01,FRS,0.925925925925926
2009-04-01,MC,0.6172839506172844
2009-08-01,MC,0.462962962962963
2009-09-01,CS,10.185185185185166
2009-09-01,FRN,1.388888888888888
2009-09-01,FRS,1.38888888888889
2009-09-01,KSE,0
2009-09-01,MC,0.5555555555555556
2009-09-01,SS,0.925925925925925
2009-12-01,CS,3.7037037037037
2009-12-01,MC,0.925925925925926
2010-04-01,CS,3.7037037037037
2010-04-01,FRN,13.8888888888889
2010-04-01,FRS,2.777777777777775
2010-04-01,KSE,1.851851851851853
2010-04-01,MC,1.2962962962962972
2010-04-01,SS,0
2010-06-01,CS,1.38888888888889
2010-06-01,FRN,17.592592592592602
2010-06-01,FRS,5.555555555555555
2010-06-01,KSE,0.462962962962963
2010-06-01,MC,1.8518518518518512
2010-06-01,SS,1.851851851851853
2010-11-01,CS,12.5
2010-11-01,FRN,35.4166666666667
2010-11-01,FRS,33.3333333333333
2010-11-01,KSE,5.555555555555555
2010-11-01,MC,20.185185185185194
2010-11-01,SS,28.4722222222222
2011-06-01,CS,28.7037037037037
2011-06-01,FRN,22.2222222222222
2011-06-01,FRS,31.4814814814815
2011-06-01,KSE,27.3148148148148
2011-06-01,MC,30.555555555555575
2011-06-01,SS,25.462962962962948
2011-08-01,FRS,41.6666666666667
2011-09-01,CS,10.185185185185166
2011-09-01,FRS,12.500000000000004
2011-09-01,KSE,5.555555555555555
2011-09-01,MC,5.864197530864193
2011-09-01,SS,0.925925925925925
2011-11-01,FRN,3.703703703703705
2011-11-01,MC,6.944444444444445
2012-04-01,FRS,3.703703703703705
2012-04-01,MC,1.388888888888888
2012-09-01,FRS,1.388888888888888
2012-09-01,MC,0.1851851851851852
2012-11-01,MC,0.7407407407407411
2013-04-01,CS,0
2013-04-01,FRN,0
2013-04-01,FRS,0
2013-04-01,KSE,0
2013-04-01,SS,0
2013-07-01,CS,0
2013-07-01,MC,0.555555555555556
2013-09-01,CS,0
2013-09-01,FRN,0
2013-09-01,FRS,0.462962962962963
2013-09-01,KSE,0
2013-09-01,MC,0
2013-09-01,SS,0
2013-11-01,MC,0.3703703703703704
2014-02-01,MC,0.1851851851851852
2014-04-01,CS,0.462962962962963
2014-04-01,FRN,0.925925925925925
2014-04-01,FRS,0
2014-04-01,KSE,0
2014-04-01,MC,0.3703703703703704
2014-04-01,SS,0
2014-06-01,MC,1.1111111111111116
2014-09-01,MC,0.617283950617284
2014-11-01,MC,0.6172839506172834
2015-02-01,MC,0
2015-04-01,CS,0.925925925925925
2015-04-01,FRN,3.24074074074074
2015-04-01,FRS,3.703703703703705
2015-04-01,KSE,4.62962962962963
2015-04-01,MC,0.9259259259259253
2015-04-01,SS,0.925925925925926
2016-04-01,CS,1.388888888888888
2016-04-01,FRN,2.7777777777777777
2016-04-01,FRS,2.777777777777775
2016-04-01,KSE,1.851851851851853
2016-04-01,MC,3.148148148148147
2016-10-01,MC,20.925925925925906
2017-05-01,CS,18.5185185185185
2017-05-01,FRN,4.62962962962963
2017-05-01,FRS,2.77777777777778
2017-05-01,KSE,1.38888888888889
2017-05-01,MC,12.962962962962976
2017-05-01,SS,5.55555555555556
